ลำดับ,รหัส อปท.,ชื่ออปท.,ประเภท,อำเภอ,จังหวัด,ภูมิภาค,เว็บไซต์ของเทศบาล
111,04400108,เทศบาลเมืองบ้านทุ่ม,เทศบาลเมือง,เมืองขอนแก่น,ขอนแก่น,ตะวันออกเฉียงเหนือ,https://www.banthum.go.th/main.php
112,04160601,เทศบาลเมืองบ้านหมี่,เทศบาลเมือง,บ้านหมี่,ลพบุรี,กลาง,https://www.banmi.go.th/home
113,04120103,เทศบาลเมืองบางศรีเมือง,เทศบาลเมือง,เมืองนนทบุรี,นนทบุรี,กลาง,https://www.bangsrimuang.go.th/
114,04120404,เทศบาลเมืองบางรักพัฒนา,เทศบาลเมือง,บางบัวทอง,นนทบุรี,กลาง,https://www.bangrakpattana.go.th/event.php
115,04660501,เทศบาลเมืองบางมูลนาก,เทศบาลเมือง,บางมูลนาก,พิจิตร,กลาง,https://www.bangmulnak.go.th/event.php
116,04120306,เทศบาลเมืองบางแม่นาง,เทศบาลเมือง,บางใหญ่,นนทบุรี,กลาง,https://www.bangmaenang.go.th/
117,04120402,เทศบาลเมืองบางคูรัด,เทศบาลเมือง,บางบัวทอง,นนทบุรี,กลาง,https://www.bangkurud.go.th/
118,04120201,เทศบาลเมืองบางกรวย,เทศบาลเมือง,บางกรวย,นนทบุรี,กลาง,https://www.bangkruaicity.go.th/
119,04120105,เทศบาลเมืองบางกร่าง,เทศบาลเมือง,เมืองนนทบุรี,นนทบุรี,กลาง,https://www.bangkrang.go.th/
120,04200201,เทศบาลเมืองบ้านบึง,เทศบาลเมือง,บ้านบึง,ชลบุรี,ตะวันออก,https://www.banbuengcity.go.th/%E0%B8%95%E0%B8%B4%E0%B8%94%E0%B8%95%E0%B9%88%E0%B8%AD%E0%B9%80%E0%B8%97%E0%B8%A8%E0%B8%9A%E0%B8%B2%E0%B8%A5
121,04150102,เทศบาลเมืองอ่างทอง,เทศบาลเมือง,เมืองอ่างทอง,อ่างทอง,กลาง,https://www.angthongcity.go.th/index.php
122,04200105,เทศบาลเมืองอ่างศิลา,เทศบาลเมือง,เมืองชลบุรี,ชลบุรี,ตะวันออก,https://www.angsilacity.go.th/landing-page
123,04370102,เทศบาลเมืองอำนาจเจริญ,เทศบาลเมือง,เมืองอำนาจเจริญ,อำนาจเจริญ,ตะวันออกเฉียงเหนือ,https://www.amnatcharoencity.go.th/index.php
124,04270401,เทศบาลเมืองวังน้ำเย็น,เทศบาลเมือง,วังน้ำเย็น,สระแก้ว,ตะวันออก,https://wangnamyencity.go.th/
125,04190202,เทศบาลเมืองทับกวาง,เทศบาลเมือง,แก่งคอย,สระบุรี,กลาง,https://tubkwang.go.th/main/
126,04710501,เทศบาลเมืองท่าเรือพระแท่น,เทศบาลเมือง,ท่ามะกา,กาญจนบุรี,ตะวันตก,https://trpcity.go.th/
127,04190102,เทศบาลเมืองสระบุรี,เทศบาลเมือง,เมืองสระบุรี,สระบุรี,กลาง,https://tmsbr.go.th/frontpage
128,04700504,เทศบาลเมืองท่าผา,เทศบาลเมือง,บ้านโป่ง,ราชบุรี,ตะวันตก,https://thapa.go.th/
129,04400501,เทศบาลเมืองชุมแพ,เทศบาลเมือง,ชุมแพ,ขอนแก่น,ตะวันออกเฉียงเหนือ,https://tessabanchumphae.go.th/public/
130,04110302,เทศบาลเมืองบางแก้ว,เทศบาลเมือง,บางพลี,สมุทรปราการ,กลาง,https://tambonbangkaew.go.th/public/
131,04960201,เทศบาลเมืองตากใบ,เทศบาลเมือง,ตากใบ,นราธิวาส,ใต้,https://takbaicity.go.th/intro
132,04720701,เทศบาลเมืองสองพี่น้อง,เทศบาลเมือง,สองพี่น้อง,สุพรรณบุรี,กลาง,https://songpeenongcity.org/
133,04130303,เทศบาลเมืองสนั่นรักษ์,เทศบาลเมือง,ธัญบุรี,ปทุมธานี,กลาง,https://snr.go.th/index/
134,04330102,เทศบาลเมืองศรีสะเกษ,เทศบาลเมือง,เมืองศรีสะเกษ,ศรีสะเกษ,ตะวันออกเฉียงเหนือ,https://sisakettownmunicipality.go.th/
135,04302001,เทศบาลเมืองสีคิ้ว,เทศบาลเมือง,สีคิ้ว,นครราชสีมา,ตะวันออกเฉียงเหนือ,https://sikhiotown.go.th/%e0%b8%ab%e0%b8%99%e0%b9%89%e0%b8%b2%e0%b9%81%e0%b8%a3%e0%b8%81/
136,04120104,เทศบาลเมืองไทรม้า,เทศบาลเมือง,เมืองนนทบุรี,นนทบุรี,กลาง,https://saima.go.th/event.php
137,04901001,เทศบาลเมืองสะเดา,เทศบาลเมือง,สะเดา,สงขลา,ใต้,https://sadaocity.go.th/content/board/5
138,04450102,เทศบาลเมืองร้อยเอ็ด,เทศบาลเมือง,เมืองร้อยเอ็ด,ร้อยเอ็ด,ตะวันออกเฉียงเหนือ,https://roietmunicipal.go.th/roiet/
139,04850102,เทศบาลเมืองระนอง,เทศบาลเมือง,เมืองระนอง,ระนอง,ใต้,https://ranongcity.go.th/frontpage
140,04250102,เทศบาลเมืองปราจีนบุรี,เทศบาลเมือง,เมืองปราจีนบุรี,ปราจีนบุรี,ตะวันออก,https://prachincity.go.th/
141,04110403,เทศบาลเมืองปู่เจ้าสมิงพราย,เทศบาลเมือง,พระประแดง,สมุทรปราการ,กลาง,https://poochaosamingprai.go.th/event.php
142,03650102,เทศบาลนครพิษณุโลก,เทศบาลนคร,เมืองพิษณุโลก,พิษณุโลก,กลาง,https://phsmun.go.th/intro_vote/
143,04120406,เทศบาลเมืองพิมลราช,เทศบาลเมือง,บางบัวทอง,นนทบุรี,กลาง,https://phimonrat.go.th/
144,04341901,เทศบาลเมืองพิบูลมังสาหาร,เทศบาลเมือง,พิบูลมังสาหาร,อุบลราชธานี,ตะวันออกเฉียงเหนือ,https://phibuncity.go.th/
145,04560102,เทศบาลเมืองพะเยา,เทศบาลเมือง,เมืองพะเยา,พะเยา,เหนือ,https://phayaocity.go.th/frontpage
146,04930102,เทศบาลเมืองพัทลุง,เทศบาลเมือง,เมืองพัทลุง,พัทลุง,ใต้,https://phatthalungcity.go.th/content/board/5
147,04200601,เทศบาลเมืองพนัสนิคม,เทศบาลเมือง,พนัสนิคม,ชลบุรี,ตะวันออก,https://phanatnikhomcity.go.th/
148,04110103,เทศบาลเมืองปากน้ำสมุทรปราการ,เทศบาลเมือง,เมืองสมุทรปราการ,สมุทรปราการ,กลาง,https://parknumsamutprakarn.go.th/public/
149,04710107,เทศบาลเมืองปากแพรก,เทศบาลเมือง,เมืองกาญจนบุรี,กาญจนบุรี,ตะวันตก,https://pakpraek.go.th/public/
150,03120601,เทศบาลนครปากเกร็ด,เทศบาลนคร,ปากเกร็ด,นนทบุรี,กลาง,https://pakkretcity.go.th/
151,04410103,เทศบาลเมืองโนนสูง-น้ำคำ,เทศบาลเมือง,เมืองอุดรธานี,อุดรธานี,ตะวันออกเฉียงเหนือ,https://nonsong-namkham.go.th/
152,04200401,เทศบาลเมืองหนองปรือ,เทศบาลเมือง,บางละมุง,ชลบุรี,ตะวันออก,https://nongpruecity.go.th/intro1/
153,04430102,เทศบาลเมืองหนองคาย,เทศบาลเมือง,เมืองหนองคาย,หนองคาย,ตะวันออกเฉียงเหนือ,https://nongkhaimunicipality.go.th/event.php
154,04550102,เทศบาลเมืองน่าน,เทศบาลเมือง,เมืองน่าน,น่าน,เหนือ,https://nancity.go.th/frontpage
155,03120102,เทศบาลนครนนทบุรี,เทศบาลนคร,เมืองนนทบุรี,นนทบุรี,กลาง,https://nakornnont.go.th/event.php
156,04480102,เทศบาลเมืองนครพนม,เทศบาลเมือง,เมืองนครพนม,นครพนม,ตะวันออกเฉียงเหนือ,https://nakonphanomcity.go.th/frontpage
157,03730102,เทศบาลนครนครปฐม,เทศบาลนคร,เมืองนครปฐม,นครปฐม,กลาง,https://nakhonpathomcity.go.th/
